DAS BOOT,War Drama - 1981
X MEN,Sci-Fi Action - 2000
THE ABYSS,Sci-Fi Adventure - 1989
REQUIEM FOR A DREAM,Drama - 2000
ARMAGEDDON,Sci-Fi Action - 1998
MEN IN BLACK,Sci-Fi Action - 1997
WHAT LIES BENEATH,Mystery Thriller - 2000
THE INSIDER,Drama - 1999
DARK CITY,Sci-Fi Thriller - 1998
O BROTHER WHERE ART THOU,Comedy Adventure - 2000
CHILDS PLAY,Horror - 1988
HALLOWEEN,Horror - 1978
VANILLA SKY,Romantic Drama - 2001
CARRIE,Horror Drama - 1976
ROMANCING THE STONE,Action Adventure - 1984
THE JEWEL OF THE NILE,Action Adventure - 1985
BIG MOMMAS HOUSE,Comedy - 2000
BIG,Comedy Fantasy - 1988
SEVEN YEARS IN TIBET,Drama Adventure - 1997
ONCE BITTEN,Comedy Horror - 1985
BATTERIES NOT INCLUDED,Sci-Fi Fantasy - 1987
COCOON,Sci-Fi Drama - 1985
THE CROW,Action Thriller - 1994
THE MUMMY,Action Adventure - 1999
DROP DEAD FRED,Comedy - 1991
DROP DEAD GORGEOUS,Comedy - 1999
THE THOMAS CROWN AFFAIR,Romantic Thriller - 1968/1999
GO,Crime Comedy - 1999
CHITTY CHITTY BANG BANG,Musical Fantasy - 1968
NORTH BY NORTHWEST,Thriller - 1959
DIAL M FOR MURDER,Thriller - 1954
EYES WIDE SHUT,Drama Thriller - 1999
LOLITA,Romantic Drama - 1962
SPARTACUS,Action Drama - 1960
ARTIFICIAL INTELLIGENCE,Sci-Fi Drama - 2001
EVOLUTION,Sci-Fi Comedy - 2001
THE MASK OF ZORRO,Action Romance - 1998
DEEP IMPACT,Sci-Fi Action - 1998
AMISTAD,Drama - 1998
GREMLINS,Comedy Horror - 1984
ARACHNOPHOBIA,Sci-Fi Thriller - 1990
WHO FRAMED ROGER RABBIT,Cross-animation Fantasy - 1988
THE LAND BEFORE TIME,Animation Adventure - 1988
THE GOONIES,Family Adventure - 1985
POLTERGEIST,Horror Thriller - 1982
HOOK,Fantasy Adventure - 1991
THE SUGARLAND EXPRESS,Crime Drama - 1974
YOUVE GOT MAIL,Romantic Comedy - 1998
A LEAGUE OF THEIR OWN,Comedy Drama - 1992
